,itemName,initial,timeOnMarket,priceIncrease,priceAvg,priceSD,maxPrice,maxIdx,minPrice,minIdx,swing,volAvg,volSD,slope,rr
65,Rimless Sunglasses,7.523999999999994,1147,-43.70566226196289,36.01947532388277,28.5035994739447,155.511,234,8.285,91,147.226,404.37717770034845,458.32882852168,-0.04279350305797132,0.24754745466610031
66,Cloth Mask (Leopard),58190.625,857,-82010.94856027985,4321.922331477036,9442.583083664445,141697.891,1,342.52,479,141355.371,181.48481308411215,166.20767257730068,-16.939322561392594,0.19650614551881576
67,Floral Shirt (Black),-785.7820000000011,857,-9504.808930297853,747.8005598665018,1047.433913552399,9713.031,0,100.233,477,9612.798,95.04662004662005,61.193035307631185,-2.7866747839603176,0.43422222933037896
68,Desert Digital - Sawed-Off,-0.10599999999999987,752,-5.302044616699218,2.2599456956144346,1.78244750200294,41.352,514,0.512,417,40.839999999999996,411.81938911022576,442.2091280501063,-0.0026250150018467234,0.10247974233183361
69,Long Sleeved Turtleneck (Burgundy),-0.32699999999999996,557,-0.49073595046997065,0.2870714582952547,0.11504772169045722,0.76,380,0.12,122,0.64,1294.9121863799282,1330.8361121947898,0.0003222885367126742,0.2036195291755064
70,Jungle Digital - M16A4,4.542000000000002,172,61.71695816802977,72.65370582087053,11.01689401403829,100.88795816802977,172,39.171,0,61.71695816802977,193.60693641618496,136.9453557887866,0.18764339932588187,0.7235102535273061
71,Sleeveless Biker Jacket (Brown),-4912.779,857,-18614.545515625,761.7242696090289,1502.2254369744005,18812.088,0,51.947,482,18760.141,51.1025641025641,41.79215101187388,-3.229048331604681,0.28344683211814503
72,Mesh Polo Shirt,-19.165999999999997,815,-51.4338046875,2.849968138006388,2.8126157407745156,53.501,0,0.7025821151733399,793,52.798417884826655,187.66176470588235,288.1445941979708,-0.005926200782359827,0.24633739035024155
73,Fringed Hotpants,1125.362,703,-6478.3681351318355,1842.871981182204,1750.36667073079,10160.863,5,218.888,327,9941.974999999999,106.2684659090909,129.64618734064166,-6.082708097701418,0.4987685681326991
74,TARGET PRACTICE,2.913000000000011,759,-104.97919964599609,89.16374095233742,30.54561667101609,225.625,14,39.89,245,185.735,356.28684210526313,1053.293484784762,0.0046732596855711735,0.0011266453315453982
75,BLACK SCHOOL UNIFORM SET (MALE),-14678.392999999998,1011,-9309.076,10968.034847560975,4042.783929724641,22272.188,0,2850.335,143,19421.853,1.6829268292682926,1.0345029297779755,8.629624633738253,0.010212052811344192
76,Long Sleeved T-shirt (Black),3.1030000000000015,1147,-34.1240246887207,1.6803088191069584,4.1854314312580785,54.321,6,0.15,703,54.171,1560.2726480836236,2087.174840135269,-0.005765751434745436,0.2084172058524313
77,Urban Padded Jacket,4.699999999999996,815,-59.41581631469727,23.65641233555549,16.136431784440816,75.949,3,3.611799614906311,807,72.33720038509368,275.6397058823529,250.6527558429753,-0.060409482858753374,0.7776669500632978
78,PGC 2019 Sneakers,10.058000000000007,151,0.8712044944763306,74.70889489523832,10.233678864718957,93.242,47,52.53547638070583,147,40.706523619294174,326.49342105263156,293.3114026151828,-0.16666570827493146,0.5106414532782559
79,Paddy Cap,-199.862,731,-216.14637140655518,8.284863771740596,9.961527723125593,218.92,0,1.146,356,217.774,406.9631205673759,749.4619621318087,-0.02727278087574929,0.3104581495095429
80,Patrol Cap (Gray),-12.959000000000003,857,-504.86790631103514,32.70344293479083,57.09527636939632,507.426,0,2.374952133178711,854,505.05104786682125,176.03146853146853,201.66250207710223,-0.1470731377517351,0.40706062659468206
81,Snake Skin Sneakers,-267.73199999999997,731,-295.6136526184082,16.029921271198692,16.964743889721166,301.02,0,1.9861143041849139,679,299.03388569581506,280.45106382978724,454.0012006134375,-0.0587653319824384,0.4969856931193411
82,Glory - AKM,-89.41300000000001,775,-376.75679101562497,64.33538223092073,38.956009824257876,416.575,0,17.073,399,399.502,127.59278350515464,122.042388062528,-0.1272824630935821,0.5357099141406779
83,PGC 2019 Parachute,44.571000000000026,151,-59.95370103454587,458.49908471959594,122.99237656139681,647.561,52,256.11599561548235,126,391.4450043845177,241.14473684210526,217.2470521844324,-2.005477736950205,0.5118779661095246
84,Lucky Knight - SKS,46.03399999999999,172,20.754642555236842,490.20279316466036,71.94626437629002,622.293,71,305.65362239408495,149,316.63937760591506,170.32947976878611,172.3994591755056,-0.6805138082815649,0.22312787759760377
85,School Shoes,139.77999999999997,1018,-1014.4430000000001,140.22888139497496,257.47704916571513,1479.123,7,6.311611328125,1003,1472.811388671875,61.80863591756624,72.31196511183713,-0.5916943084665375,0.4569665816065174
86,Fingerless Gloves (Leather),2.7590000000000003,1147,-65.75766032791138,14.67187812661325,10.687481262324196,83.263,4,3.819,88,79.444,1114.1350174216027,1115.1946159401343,-0.015802165536346367,0.24009586568908872
87,BLUE SCHOOL UNIFORM SET (FEMALE),82.00400000000081,1009,3374.9180000000015,32326.397066666665,12789.464468208818,78488.633,42,21.614,98,78467.019,1.2666666666666666,0.5566338741410459,36.197522527472515,0.007358866651865761
88,Jungle Leggings,3.8899999999999864,557,-106.89199853134156,86.79017953424598,38.619529344953435,238.422,6,37.278659801721574,541,201.14334019827842,158.55376344086022,81.82411733463908,-0.2133591344904109,0.7919436582382178
89,Coat (Black),141.16099999999983,634,-697.5248849792481,740.6885211128371,274.3282546915948,1534.72,36,226.036,256,1308.684,71.41417322834646,52.6154085458094,-0.6429124540029398,0.1845558108908674
90,Rugged (Beige) - M16A4,4.5319999999999965,782,-47.10203233337403,1.0862205498028228,4.703092820195568,54.192,3,0.144,436,54.048,1796.3346104725415,2022.7572170294613,-0.00542546552662232,0.067990539332713
91,Desert Digital - Micro UZI,0.9420000000000002,752,-14.21022406387329,9.926639405681001,3.1716464697395965,29.576,4,3.867,406,25.709,673.0092961487384,589.1639956115807,-0.0023610967794947205,0.026185807649264863
92,VK Jeans,29.473,613,8.993025268554689,91.50470315049448,12.341165874102641,122.709,283,55.663,44,67.046,98.04397394136808,152.15623834596929,-0.021323949715375948,0.09379447666283698
